university,version,attribute,count,nan_count,nan_perc
bristol,2024-05-29,link,176,0,0.0
bristol,2024-05-29,title,176,0,0.0
bristol,2024-05-29,study_level,176,0,0.0
bristol,2024-05-29,qualification,176,0,0.0
bristol,2024-05-29,university_title,176,0,0.0
bristol,2024-05-29,description,176,0,0.0
bristol,2024-05-29,about,176,0,0.0
bristol,2024-05-29,entry_requirements,176,0,0.0
bristol,2024-05-29,locations,176,0,0.0
bristol,2024-05-29,start_dates,176,0,0.0
bristol,2024-05-29,application_dates,176,7,3.977272727272727
bristol,2024-05-29,tuitions,176,0,0.0
bristol,2024-05-29,tuition__study_mode,352,0,0.0
bristol,2024-05-29,tuition__duration,352,38,10.795454545454545
bristol,2024-05-29,tuition__student_category,352,0,0.0
bristol,2024-05-29,tuition__fee,352,0,0.0
bristol,2024-05-29,language_requirements,176,0,0.0
bristol,2024-05-29,language_requirement__language,1700,0,0.0
bristol,2024-05-29,language_requirement__test,1700,0,0.0
bristol,2024-05-29,language_requirement__score,1700,0,0.0
bristol,2024-05-29,modules,166,10,5.681818181818182
bristol,2024-05-29,module__type,3813,0,0.0
bristol,2024-05-29,module__title,3813,0,0.0
bristol,2024-05-29,module__link,3813,0,0.0
