university,version,attribute,count,nan_count,nan_perc
warwick,2024-05-25,link,343,0,0.0
warwick,2024-05-25,title,343,0,0.0
warwick,2024-05-25,study_level,343,0,0.0
warwick,2024-05-25,qualification,343,0,0.0
warwick,2024-05-25,university_title,343,0,0.0
warwick,2024-05-25,description,343,0,0.0
warwick,2024-05-25,about,343,0,0.0
warwick,2024-05-25,entry_requirements,343,0,0.0
warwick,2024-05-25,locations,343,0,0.0
warwick,2024-05-25,start_dates,343,0,0.0
warwick,2024-05-25,application_dates,343,0,0.0
warwick,2024-05-25,tuitions,343,0,0.0
warwick,2024-05-25,tuition__study_mode,1228,41,3.3387622149837135
warwick,2024-05-25,tuition__duration,1228,44,3.5830618892508146
warwick,2024-05-25,tuition__student_category,1228,113,9.201954397394136
warwick,2024-05-25,tuition__fee,1228,113,9.201954397394136
warwick,2024-05-25,language_requirements,249,94,27.405247813411076
warwick,2024-05-25,language_requirement__language,900,0,0.0
warwick,2024-05-25,language_requirement__test,900,0,0.0
warwick,2024-05-25,language_requirement__score,900,0,0.0
warwick,2024-05-25,modules,217,126,36.734693877551024
warwick,2024-05-25,module__type,2121,0,0.0
warwick,2024-05-25,module__title,2121,0,0.0
warwick,2024-05-25,module__link,2121,2078,97.97265440829797
